time,ecg2,sequence_counter,packet_size
NaN,-2.150000000e+02,7040345.26,
NaN,-1.430000000e+02,7040345.27,
NaN,-2.300000000e+02,7040345.28,
NaN,-1.510000000e+02,7040345.29,
23150468888,-1.640000000e+02,7040345.30,
NaN,-1.810000000e+02,7040346.00,31
NaN,-1.170000000e+02,7040346.01,
NaN,-2.240000000e+02,7040346.02,
NaN,-1.670000000e+02,7040346.03,
NaN,-1.610000000e+02,7040346.04,
NaN,-2.170000000e+02,7040346.05,
NaN,-1.520000000e+02,7040346.06,
NaN,-2.430000000e+02,7040346.07,
NaN,-2.140000000e+02,7040346.08,
NaN,-1.990000000e+02,7040346.09,
NaN,-2.610000000e+02,7040346.10,
NaN,-1.840000000e+02,7040346.11,
NaN,-2.610000000e+02,7040346.12,
NaN,-2.310000000e+02,7040346.13,
NaN,-1.000000000e+02,7040346.14,
NaN,2.900000000e+01,7040346.15,
NaN,2.310000000e+02,7040346.16,
NaN,2.310000000e+02,7040346.17,
NaN,4.470000000e+02,7040346.18,
NaN,5.780000000e+02,7040346.19,
NaN,3.500000000e+02,7040346.20,
NaN,3.450000000e+02,7040346.21,
NaN,1.200000000e+02,7040346.22,
NaN,-1.920000000e+02,7040346.23,
NaN,-2.620000000e+02,7040346.24,
NaN,-4.360000000e+02,7040346.25,
NaN,-4.300000000e+02,7040346.26,
NaN,-4.380000000e+02,7040346.27,
NaN,-5.090000000e+02,7040346.28,
NaN,-4.280000000e+02,7040346.29,
23150476825,-4.760000000e+02,7040346.30,
NaN,-4.650000000e+02,7040347.00,31
NaN,-4.010000000e+02,7040347.01,
NaN,-4.870000000e+02,7040347.02,
NaN,-5.610000000e+02,7040347.03,
NaN,-9.000000000e+01,7040347.04,
NaN,1.109000000e+03,7040347.05,
NaN,2.824000000e+03,7040347.06,
NaN,3.980000000e+03,7040347.07,
NaN,2.108000000e+03,7040347.08,
NaN,-5.650000000e+02,7040347.09,
NaN,-6.560000000e+02,7040347.10,
NaN,-3.420000000e+02,7040347.11,
NaN,-5.440000000e+02,7040347.12,
NaN,-3.960000000e+02,7040347.13,
NaN,-4.550000000e+02,7040347.14,
NaN,-4.830000000e+02,7040347.15,
NaN,-3.690000000e+02,7040347.16,
NaN,-4.390000000e+02,7040347.17,
NaN,-3.410000000e+02,7040347.18,
NaN,-2.790000000e+02,7040347.19,
NaN,-3.140000000e+02,7040347.20,
NaN,-1.770000000e+02,7040347.21,
NaN,-1.950000000e+02,7040347.22,
NaN,-1.460000000e+02,7040347.23,
NaN,-5.400000000e+01,7040347.24,
NaN,-7.500000000e+01,7040347.25,
NaN,5.600000000e+01,7040347.26,
NaN,6.600000000e+01,7040347.27,
NaN,1.010000000e+02,7040347.28,
NaN,2.090000000e+02,7040347.29,
23150484760,2.260000000e+02,7040347.30,
NaN,3.670000000e+02,7040348.00,31
NaN,3.510000000e+02,7040348.01,
NaN,4.070000000e+02,7040348.02,
NaN,5.870000000e+02,7040348.03,
NaN,5.700000000e+02,7040348.04,
NaN,6.790000000e+02,7040348.05,
NaN,7.280000000e+02,7040348.06,
NaN,7.530000000e+02,7040348.07,
NaN,8.790000000e+02,7040348.08,
NaN,8.260000000e+02,7040348.09,
NaN,8.670000000e+02,7040348.10,
NaN,7.620000000e+02,7040348.11,
NaN,5.230000000e+02,7040348.12,
NaN,4.320000000e+02,7040348.13,
NaN,1.380000000e+02,7040348.14,
NaN,-2.700000000e+01,7040348.15,
NaN,-9.300000000e+01,7040348.16,
NaN,-2.580000000e+02,7040348.17,
NaN,-2.150000000e+02,7040348.18,
NaN,-2.560000000e+02,7040348.19,
NaN,-2.630000000e+02,7040348.20,
NaN,-2.060000000e+02,7040348.21,
NaN,-2.910000000e+02,7040348.22,
NaN,-2.040000000e+02,7040348.23,
NaN,-1.850000000e+02,7040348.24,
NaN,-2.090000000e+02,7040348.25,
NaN,-1.540000000e+02,7040348.26,
NaN,-2.330000000e+02,7040348.27,
NaN,-1.700000000e+02,7040348.28,
NaN,-1.820000000e+02,7040348.29,
23150492696,-2.430000000e+02,7040348.30,
NaN,-1.510000000e+02,7040349.00,31
NaN,-2.340000000e+02,7040349.01,
NaN,-2.120000000e+02,7040349.02,
NaN,-1.960000000e+02,7040349.03,
NaN,-2.770000000e+02,7040349.04,
NaN,-1.790000000e+02,7040349.05,
NaN,-2.410000000e+02,7040349.06,
NaN,-2.600000000e+02,7040349.07,
NaN,-1.920000000e+02,7040349.08,
NaN,-1.940000000e+02,7040349.09,
NaN,7.200000000e+01,7040349.10,
NaN,2.260000000e+02,7040349.11,
NaN,2.470000000e+02,7040349.12,
NaN,4.430000000e+02,7040349.13,
NaN,5.270000000e+02,7040349.14,
NaN,5.220000000e+02,7040349.15,
NaN,3.790000000e+02,7040349.16,
NaN,1.700000000e+02,7040349.17,
NaN,-1.200000000e+01,7040349.18,
NaN,-2.880000000e+02,7040349.19,
NaN,-3.550000000e+02,7040349.20,
NaN,-3.890000000e+02,7040349.21,
NaN,-4.650000000e+02,7040349.22,
NaN,-4.060000000e+02,7040349.23,
NaN,-4.800000000e+02,7040349.24,
NaN,-4.390000000e+02,7040349.25,
NaN,-4.340000000e+02,7040349.26,
NaN,-4.950000000e+02,7040349.27,
NaN,-3.260000000e+02,7040349.28,
NaN,-5.680000000e+02,7040349.29,
23150500631,-3.380000000e+02,7040349.30,
NaN,8.200000000e+02,7040350.00,31
NaN,2.275000000e+03,7040350.01,
NaN,4.037000000e+03,7040350.02,
NaN,3.102000000e+03,7040350.03,
NaN,5.800000000e+01,7040350.04,
NaN,-6.970000000e+02,7040350.05,
NaN,-3.720000000e+02,7040350.06,
NaN,-4.210000000e+02,7040350.07,
NaN,-4.230000000e+02,7040350.08,
NaN,-4.650000000e+02,7040350.09,
