time,accel.z,sequence_counter,packet_size
NaN,4.090000000e+03,7042714.02,
NaN,4.158000000e+03,7042714.03,
NaN,3.994000000e+03,7042714.04,
NaN,3.824000000e+03,7042714.05,
NaN,4.052000000e+03,7042714.06,
NaN,4.097000000e+03,7042714.07,
NaN,3.801000000e+03,7042714.08,
NaN,3.862000000e+03,7042714.09,
NaN,4.152000000e+03,7042714.10,
23150523928,4.199000000e+03,7042714.11,
NaN,3.971000000e+03,7042715.00,12
NaN,3.867000000e+03,7042715.01,
NaN,3.999000000e+03,7042715.02,
NaN,4.054000000e+03,7042715.03,
NaN,4.030000000e+03,7042715.04,
NaN,3.976000000e+03,7042715.05,
NaN,4.033000000e+03,7042715.06,
NaN,4.043000000e+03,7042715.07,
NaN,3.978000000e+03,7042715.08,
NaN,3.965000000e+03,7042715.09,
NaN,4.028000000e+03,7042715.10,
23150527886,4.015000000e+03,7042715.11,
NaN,3.997000000e+03,7042716.00,12
NaN,3.991000000e+03,7042716.01,
NaN,4.025000000e+03,7042716.02,
NaN,4.076000000e+03,7042716.03,
NaN,4.058000000e+03,7042716.04,
NaN,3.995000000e+03,7042716.05,
NaN,4.040000000e+03,7042716.06,
NaN,4.056000000e+03,7042716.07,
NaN,3.953000000e+03,7042716.08,
NaN,4.066000000e+03,7042716.09,
NaN,4.124000000e+03,7042716.10,
23150531843,4.032000000e+03,7042716.11,
NaN,4.069000000e+03,7042717.00,12
NaN,4.116000000e+03,7042717.01,
NaN,4.056000000e+03,7042717.02,
NaN,4.062000000e+03,7042717.03,
NaN,4.065000000e+03,7042717.04,
NaN,4.108000000e+03,7042717.05,
NaN,4.066000000e+03,7042717.06,
NaN,4.061000000e+03,7042717.07,
NaN,4.009000000e+03,7042717.08,
NaN,4.047000000e+03,7042717.09,
NaN,4.067000000e+03,7042717.10,
23150535800,4.035000000e+03,7042717.11,
NaN,4.017000000e+03,7042718.00,12
NaN,4.102000000e+03,7042718.01,
NaN,4.101000000e+03,7042718.02,
NaN,4.043000000e+03,7042718.03,
NaN,4.064000000e+03,7042718.04,
NaN,4.094000000e+03,7042718.05,
NaN,4.128000000e+03,7042718.06,
NaN,4.091000000e+03,7042718.07,
NaN,4.104000000e+03,7042718.08,
NaN,4.107000000e+03,7042718.09,
NaN,4.114000000e+03,7042718.10,
23150539758,4.149000000e+03,7042718.11,
NaN,4.114000000e+03,7042719.00,12
NaN,4.092000000e+03,7042719.01,
NaN,4.108000000e+03,7042719.02,
NaN,4.127000000e+03,7042719.03,
NaN,4.164000000e+03,7042719.04,
NaN,4.187000000e+03,7042719.05,
NaN,4.178000000e+03,7042719.06,
NaN,4.175000000e+03,7042719.07,
NaN,4.175000000e+03,7042719.08,
NaN,4.222000000e+03,7042719.09,
NaN,4.243000000e+03,7042719.10,
23150543715,4.339000000e+03,7042719.11,
NaN,4.269000000e+03,7042720.00,12
NaN,3.994000000e+03,7042720.01,
NaN,4.107000000e+03,7042720.02,
NaN,4.319000000e+03,7042720.03,
NaN,4.088000000e+03,7042720.04,
NaN,3.879000000e+03,7042720.05,
NaN,4.308000000e+03,7042720.06,
NaN,4.652000000e+03,7042720.07,
NaN,4.456000000e+03,7042720.08,
NaN,4.194000000e+03,7042720.09,
NaN,4.154000000e+03,7042720.10,
23150547672,4.176000000e+03,7042720.11,
NaN,4.111000000e+03,7042721.00,12
NaN,4.122000000e+03,7042721.01,
NaN,4.234000000e+03,7042721.02,
NaN,4.326000000e+03,7042721.03,
NaN,4.299000000e+03,7042721.04,
NaN,4.207000000e+03,7042721.05,
NaN,4.146000000e+03,7042721.06,
NaN,4.182000000e+03,7042721.07,
NaN,4.202000000e+03,7042721.08,
NaN,4.240000000e+03,7042721.09,
NaN,4.229000000e+03,7042721.10,
23150551630,4.247000000e+03,7042721.11,
NaN,4.271000000e+03,7042722.00,12
NaN,4.280000000e+03,7042722.01,
NaN,4.241000000e+03,7042722.02,
NaN,4.165000000e+03,7042722.03,
NaN,4.200000000e+03,7042722.04,
NaN,4.290000000e+03,7042722.05,
NaN,4.230000000e+03,7042722.06,
NaN,4.203000000e+03,7042722.07,
NaN,4.301000000e+03,7042722.08,
NaN,4.268000000e+03,7042722.09,
NaN,4.166000000e+03,7042722.10,
23150555587,4.216000000e+03,7042722.11,
NaN,4.300000000e+03,7042723.00,12
NaN,4.351000000e+03,7042723.01,
NaN,4.343000000e+03,7042723.02,
NaN,4.294000000e+03,7042723.03,
NaN,4.267000000e+03,7042723.04,
NaN,4.273000000e+03,7042723.05,
NaN,4.276000000e+03,7042723.06,
NaN,4.307000000e+03,7042723.07,
NaN,4.282000000e+03,7042723.08,
NaN,4.318000000e+03,7042723.09,
NaN,4.309000000e+03,7042723.10,
23150559544,4.305000000e+03,7042723.11,
