time,ecg2,sequence_counter,packet_size
NaN,-2.230000000e+02,7014349.28,
NaN,-2.140000000e+02,7014349.29,
22999224829,-2.080000000e+02,7014349.30,
NaN,-1.810000000e+02,7014350.00,31
NaN,-2.520000000e+02,7014350.01,
NaN,-2.870000000e+02,7014350.02,
NaN,-1.930000000e+02,7014350.03,
NaN,-2.660000000e+02,7014350.04,
NaN,-3.550000000e+02,7014350.05,
NaN,-3.000000000e+02,7014350.06,
NaN,-2.890000000e+02,7014350.07,
NaN,-2.690000000e+02,7014350.08,
NaN,-2.230000000e+02,7014350.09,
NaN,-2.180000000e+02,7014350.10,
NaN,-1.080000000e+02,7014350.11,
NaN,1.350000000e+02,7014350.12,
NaN,2.250000000e+02,7014350.13,
NaN,2.210000000e+02,7014350.14,
NaN,4.880000000e+02,7014350.15,
NaN,6.510000000e+02,7014350.16,
NaN,4.660000000e+02,7014350.17,
NaN,3.590000000e+02,7014350.18,
NaN,1.770000000e+02,7014350.19,
NaN,-7.400000000e+01,7014350.20,
NaN,-1.910000000e+02,7014350.21,
NaN,-4.070000000e+02,7014350.22,
NaN,-4.760000000e+02,7014350.23,
NaN,-4.230000000e+02,7014350.24,
NaN,-4.640000000e+02,7014350.25,
NaN,-4.560000000e+02,7014350.26,
NaN,-4.210000000e+02,7014350.27,
NaN,-3.410000000e+02,7014350.28,
NaN,-6.010000000e+02,7014350.29,
22999232764,-5.430000000e+02,7014350.30,
NaN,6.190000000e+02,7014351.00,31
NaN,1.951000000e+03,7014351.01,
NaN,3.480000000e+03,7014351.02,
NaN,3.040000000e+03,7014351.03,
NaN,-4.000000000e+00,7014351.04,
NaN,-1.092000000e+03,7014351.05,
NaN,-5.460000000e+02,7014351.06,
NaN,-5.820000000e+02,7014351.07,
NaN,-5.310000000e+02,7014351.08,
NaN,-5.980000000e+02,7014351.09,
NaN,-6.470000000e+02,7014351.10,
NaN,-5.290000000e+02,7014351.11,
NaN,-5.490000000e+02,7014351.12,
NaN,-5.510000000e+02,7014351.13,
NaN,-4.620000000e+02,7014351.14,
NaN,-3.780000000e+02,7014351.15,
NaN,-3.880000000e+02,7014351.16,
NaN,-3.380000000e+02,7014351.17,
NaN,-2.200000000e+02,7014351.18,
NaN,-2.920000000e+02,7014351.19,
NaN,-3.350000000e+02,7014351.20,
