time,accel.z,sequence_counter,packet_size
NaN,-9.530000000e+02,7014697.00,12
NaN,-9.430000000e+02,7014697.01,
NaN,-9.580000000e+02,7014697.02,
NaN,-9.220000000e+02,7014697.03,
NaN,-9.580000000e+02,7014697.04,
NaN,-9.730000000e+02,7014697.05,
NaN,-9.760000000e+02,7014697.06,
NaN,-1.030000000e+03,7014697.07,
NaN,-9.900000000e+02,7014697.08,
NaN,-9.740000000e+02,7014697.09,
NaN,-9.140000000e+02,7014697.10,
22999220472,-9.140000000e+02,7014697.11,
NaN,-9.140000000e+02,7014698.00,12
NaN,-8.890000000e+02,7014698.01,
NaN,-9.090000000e+02,7014698.02,
NaN,-9.370000000e+02,7014698.03,
NaN,-1.016000000e+03,7014698.04,
NaN,-1.054000000e+03,7014698.05,
NaN,-1.007000000e+03,7014698.06,
NaN,-1.013000000e+03,7014698.07,
NaN,-1.048000000e+03,7014698.08,
NaN,-1.032000000e+03,7014698.09,
NaN,-1.022000000e+03,7014698.10,
22999224429,-1.039000000e+03,7014698.11,
NaN,-1.010000000e+03,7014699.00,12
NaN,-1.030000000e+03,7014699.01,
NaN,-9.810000000e+02,7014699.02,
NaN,-9.990000000e+02,7014699.03,
NaN,-1.038000000e+03,7014699.04,
NaN,-1.037000000e+03,7014699.05,
NaN,-1.075000000e+03,7014699.06,
NaN,-1.033000000e+03,7014699.07,
NaN,-9.920000000e+02,7014699.08,
NaN,-1.036000000e+03,7014699.09,
NaN,-1.110000000e+03,7014699.10,
22999228386,-1.110000000e+03,7014699.11,
NaN,-1.176000000e+03,7014700.00,12
NaN,-1.147000000e+03,7014700.01,
NaN,-1.150000000e+03,7014700.02,
NaN,-1.039000000e+03,7014700.03,
NaN,-9.710000000e+02,7014700.04,
NaN,-1.030000000e+03,7014700.05,
NaN,-1.090000000e+03,7014700.06,
NaN,-1.107000000e+03,7014700.07,
NaN,-1.059000000e+03,7014700.08,
NaN,-9.780000000e+02,7014700.09,
NaN,-1.219000000e+03,7014700.10,
22999232343,-1.305000000e+03,7014700.11,
NaN,-1.332000000e+03,7014701.00,12
NaN,-1.467000000e+03,7014701.01,
NaN,-1.182000000e+03,7014701.02,
NaN,-7.740000000e+02,7014701.03,
NaN,-7.300000000e+02,7014701.04,
NaN,-9.390000000e+02,7014701.05,
NaN,-1.148000000e+03,7014701.06,
NaN,-1.216000000e+03,7014701.07,
NaN,-1.185000000e+03,7014701.08,
NaN,-1.111000000e+03,7014701.09,
NaN,-1.053000000e+03,7014701.10,
22999236301,-9.420000000e+02,7014701.11,
NaN,-9.690000000e+02,7014702.00,12
NaN,-1.013000000e+03,7014702.01,
NaN,-1.076000000e+03,7014702.02,
NaN,-1.131000000e+03,7014702.03,
NaN,-1.142000000e+03,7014702.04,
NaN,-1.136000000e+03,7014702.05,
NaN,-1.076000000e+03,7014702.06,
NaN,-1.074000000e+03,7014702.07,
NaN,-1.035000000e+03,7014702.08,
NaN,-1.019000000e+03,7014702.09,
NaN,-1.015000000e+03,7014702.10,
22999240259,-1.013000000e+03,7014702.11,
NaN,-9.680000000e+02,7014703.00,12
NaN,-9.690000000e+02,7014703.01,
NaN,-1.054000000e+03,7014703.02,
NaN,-1.031000000e+03,7014703.03,
NaN,-9.750000000e+02,7014703.04,
NaN,-9.050000000e+02,7014703.05,
NaN,-9.380000000e+02,7014703.06,
NaN,-9.630000000e+02,7014703.07,
NaN,-1.027000000e+03,7014703.08,
NaN,-9.690000000e+02,7014703.09,
NaN,-9.530000000e+02,7014703.10,
22999244216,-9.330000000e+02,7014703.11,
NaN,-8.710000000e+02,7014704.00,12
NaN,-8.350000000e+02,7014704.01,
NaN,-8.110000000e+02,7014704.02,
NaN,-7.720000000e+02,7014704.03,
NaN,-7.110000000e+02,7014704.04,
NaN,-7.670000000e+02,7014704.05,
NaN,-8.290000000e+02,7014704.06,
NaN,-8.330000000e+02,7014704.07,
NaN,-8.080000000e+02,7014704.08,
NaN,-8.060000000e+02,7014704.09,
NaN,-8.480000000e+02,7014704.10,
22999248174,-7.590000000e+02,7014704.11,
NaN,-7.520000000e+02,7014705.00,12
NaN,-7.510000000e+02,7014705.01,
NaN,-6.980000000e+02,7014705.02,
NaN,-7.320000000e+02,7014705.03,
NaN,-7.660000000e+02,7014705.04,
NaN,-7.050000000e+02,7014705.05,
NaN,-7.050000000e+02,7014705.06,
NaN,-7.140000000e+02,7014705.07,
NaN,-7.320000000e+02,7014705.08,
NaN,-8.300000000e+02,7014705.09,
NaN,-7.900000000e+02,7014705.10,
22999252132,-8.190000000e+02,7014705.11,
NaN,-8.140000000e+02,7014706.00,12
NaN,-7.350000000e+02,7014706.01,
NaN,-6.850000000e+02,7014706.02,
NaN,-7.200000000e+02,7014706.03,
NaN,-7.230000000e+02,7014706.04,
NaN,-7.110000000e+02,7014706.05,
NaN,-6.220000000e+02,7014706.06,
NaN,-6.010000000e+02,7014706.07,
NaN,-8.610000000e+02,7014706.08,
NaN,-9.070000000e+02,7014706.09,
NaN,-1.010000000e+03,7014706.10,
22999256090,-1.152000000e+03,7014706.11,
NaN,-7.710000000e+02,7014707.00,12
NaN,-2.790000000e+02,7014707.01,
NaN,-1.880000000e+02,7014707.02,
NaN,-4.600000000e+02,7014707.03,
NaN,-7.780000000e+02,7014707.04,
NaN,-1.020000000e+03,7014707.05,
NaN,-1.040000000e+03,7014707.06,
NaN,-8.700000000e+02,7014707.07,
NaN,-6.280000000e+02,7014707.08,
NaN,-5.340000000e+02,7014707.09,
NaN,-5.820000000e+02,7014707.10,
22999260047,-6.780000000e+02,7014707.11,
NaN,-7.990000000e+02,7014708.00,12
NaN,-8.340000000e+02,7014708.01,
NaN,-8.070000000e+02,7014708.02,
NaN,-8.310000000e+02,7014708.03,
NaN,-7.350000000e+02,7014708.04,
NaN,-6.900000000e+02,7014708.05,
NaN,-6.990000000e+02,7014708.06,
NaN,-6.670000000e+02,7014708.07,
NaN,-7.780000000e+02,7014708.08,
NaN,-8.480000000e+02,7014708.09,
NaN,-7.260000000e+02,7014708.10,
22999264004,-6.310000000e+02,7014708.11,
NaN,-7.300000000e+02,7014709.00,12
NaN,-8.050000000e+02,7014709.01,
NaN,-8.020000000e+02,7014709.02,
NaN,-8.150000000e+02,7014709.03,
NaN,-8.550000000e+02,7014709.04,
NaN,-8.560000000e+02,7014709.05,
NaN,-8.300000000e+02,7014709.06,
NaN,-8.430000000e+02,7014709.07,
NaN,-8.790000000e+02,7014709.08,
NaN,-8.720000000e+02,7014709.09,
NaN,-8.470000000e+02,7014709.10,
22999267961,-8.440000000e+02,7014709.11,
NaN,-8.360000000e+02,7014710.00,12
NaN,-8.430000000e+02,7014710.01,
NaN,-8.630000000e+02,7014710.02,
NaN,-8.800000000e+02,7014710.03,
NaN,-9.450000000e+02,7014710.04,
NaN,-9.570000000e+02,7014710.05,
NaN,-9.520000000e+02,7014710.06,
NaN,-9.140000000e+02,7014710.07,
NaN,-9.190000000e+02,7014710.08,
NaN,-8.870000000e+02,7014710.09,
NaN,-8.500000000e+02,7014710.10,
22999271919,-8.760000000e+02,7014710.11,
NaN,-8.620000000e+02,7014711.00,12
NaN,-8.960000000e+02,7014711.01,
NaN,-8.990000000e+02,7014711.02,
NaN,-9.620000000e+02,7014711.03,
NaN,-1.091000000e+03,7014711.04,
NaN,-1.159000000e+03,7014711.05,
NaN,-1.119000000e+03,7014711.06,
NaN,-1.060000000e+03,7014711.07,
NaN,-1.016000000e+03,7014711.08,
NaN,-1.025000000e+03,7014711.09,
NaN,-1.077000000e+03,7014711.10,
22999275876,-1.094000000e+03,7014711.11,
NaN,-1.151000000e+03,7014712.00,12
NaN,-1.111000000e+03,7014712.01,
NaN,-1.287000000e+03,7014712.02,
NaN,-1.560000000e+03,7014712.03,
NaN,-1.581000000e+03,7014712.04,
NaN,-1.802000000e+03,7014712.05,
NaN,-1.569000000e+03,7014712.06,
NaN,-1.015000000e+03,7014712.07,
NaN,-7.900000000e+02,7014712.08,
NaN,-9.580000000e+02,7014712.09,
NaN,-1.283000000e+03,7014712.10,
22999279833,-1.613000000e+03,7014712.11,
NaN,-1.726000000e+03,7014713.00,12
NaN,-1.661000000e+03,7014713.01,
NaN,-1.467000000e+03,7014713.02,
NaN,-1.244000000e+03,7014713.03,
NaN,-1.068000000e+03,7014713.04,
NaN,-1.171000000e+03,7014713.05,
NaN,-1.349000000e+03,7014713.06,
NaN,-1.458000000e+03,7014713.07,
NaN,-1.510000000e+03,7014713.08,
NaN,-1.498000000e+03,7014713.09,
NaN,-1.494000000e+03,7014713.10,
22999283791,-1.487000000e+03,7014713.11,
NaN,-1.418000000e+03,7014714.00,12
NaN,-1.426000000e+03,7014714.01,
NaN,-1.428000000e+03,7014714.02,
NaN,-1.502000000e+03,7014714.03,
NaN,-1.531000000e+03,7014714.04,
NaN,-1.441000000e+03,7014714.05,
NaN,-1.472000000e+03,7014714.06,
NaN,-1.575000000e+03,7014714.07,
NaN,-1.607000000e+03,7014714.08,
NaN,-1.577000000e+03,7014714.09,
NaN,-1.544000000e+03,7014714.10,
22999287748,-1.586000000e+03,7014714.11,
NaN,-1.587000000e+03,7014715.00,12
NaN,-1.583000000e+03,7014715.01,
NaN,-1.576000000e+03,7014715.02,
NaN,-1.613000000e+03,7014715.03,
NaN,-1.570000000e+03,7014715.04,
NaN,-1.564000000e+03,7014715.05,
NaN,-1.531000000e+03,7014715.06,
NaN,-1.509000000e+03,7014715.07,
NaN,-1.428000000e+03,7014715.08,
NaN,-1.450000000e+03,7014715.09,
NaN,-1.560000000e+03,7014715.10,
22999291706,-1.584000000e+03,7014715.11,
NaN,-1.610000000e+03,7014716.00,12
NaN,-1.638000000e+03,7014716.01,
NaN,-1.634000000e+03,7014716.02,
NaN,-1.636000000e+03,7014716.03,
NaN,-1.597000000e+03,7014716.04,
NaN,-1.615000000e+03,7014716.05,
NaN,-1.583000000e+03,7014716.06,
NaN,-1.568000000e+03,7014716.07,
NaN,-1.558000000e+03,7014716.08,
NaN,-1.571000000e+03,7014716.09,
NaN,-1.649000000e+03,7014716.10,
22999295663,-1.728000000e+03,7014716.11,
NaN,-1.706000000e+03,7014717.00,12
NaN,-1.600000000e+03,7014717.01,
NaN,-1.513000000e+03,7014717.02,
NaN,-1.481000000e+03,7014717.03,
NaN,-1.518000000e+03,7014717.04,
NaN,-1.523000000e+03,7014717.05,
NaN,-1.546000000e+03,7014717.06,
NaN,-1.526000000e+03,7014717.07,
NaN,-1.755000000e+03,7014717.08,
NaN,-1.919000000e+03,7014717.09,
NaN,-1.919000000e+03,7014717.10,
22999299621,-1.994000000e+03,7014717.11,
NaN,-1.679000000e+03,7014718.00,12
NaN,-1.251000000e+03,7014718.01,
NaN,-1.124000000e+03,7014718.02,
NaN,-1.358000000e+03,7014718.03,
NaN,-1.589000000e+03,7014718.04,
NaN,-1.759000000e+03,7014718.05,
NaN,-1.779000000e+03,7014718.06,
NaN,-1.775000000e+03,7014718.07,
NaN,-1.690000000e+03,7014718.08,
NaN,-1.572000000e+03,7014718.09,
