time,accel.x,sequence_counter,packet_size
23111349602,1.071200000e+04,7038044.11,
NaN,1.080300000e+04,7038045.00,12
NaN,1.070600000e+04,7038045.01,
NaN,1.059400000e+04,7038045.02,
NaN,1.061600000e+04,7038045.03,
NaN,1.062800000e+04,7038045.04,
NaN,1.069100000e+04,7038045.05,
NaN,1.070600000e+04,7038045.06,
NaN,1.073000000e+04,7038045.07,
NaN,1.074500000e+04,7038045.08,
NaN,1.075000000e+04,7038045.09,
NaN,1.070100000e+04,7038045.10,
23111353560,1.069600000e+04,7038045.11,
NaN,1.072400000e+04,7038046.00,12
NaN,1.071200000e+04,7038046.01,
NaN,1.070300000e+04,7038046.02,
NaN,1.073300000e+04,7038046.03,
NaN,1.073300000e+04,7038046.04,
NaN,1.075300000e+04,7038046.05,
NaN,1.073900000e+04,7038046.06,
NaN,1.071800000e+04,7038046.07,
NaN,1.072600000e+04,7038046.08,
NaN,1.070600000e+04,7038046.09,
NaN,1.076600000e+04,7038046.10,
23111357519,1.080800000e+04,7038046.11,
NaN,1.083100000e+04,7038047.00,12
NaN,1.081600000e+04,7038047.01,
NaN,1.079200000e+04,7038047.02,
NaN,1.071500000e+04,7038047.03,
NaN,1.072300000e+04,7038047.04,
NaN,1.069200000e+04,7038047.05,
NaN,1.063900000e+04,7038047.06,
NaN,1.065000000e+04,7038047.07,
NaN,1.061400000e+04,7038047.08,
NaN,1.059900000e+04,7038047.09,
NaN,1.067700000e+04,7038047.10,
23111361477,1.076700000e+04,7038047.11,
NaN,1.078300000e+04,7038048.00,12
NaN,1.077700000e+04,7038048.01,
NaN,1.076400000e+04,7038048.02,
NaN,1.074600000e+04,7038048.03,
NaN,1.073100000e+04,7038048.04,
NaN,1.070900000e+04,7038048.05,
NaN,1.074200000e+04,7038048.06,
NaN,1.079000000e+04,7038048.07,
NaN,1.075900000e+04,7038048.08,
NaN,1.073400000e+04,7038048.09,
NaN,1.074200000e+04,7038048.10,
23111365435,1.074000000e+04,7038048.11,
NaN,1.074000000e+04,7038049.00,12
NaN,1.074200000e+04,7038049.01,
NaN,1.077800000e+04,7038049.02,
NaN,1.076300000e+04,7038049.03,
NaN,1.072800000e+04,7038049.04,
NaN,1.070500000e+04,7038049.05,
NaN,1.065700000e+04,7038049.06,
NaN,1.064600000e+04,7038049.07,
NaN,1.066400000e+04,7038049.08,
NaN,1.067900000e+04,7038049.09,
NaN,1.068800000e+04,7038049.10,
23111369393,1.065600000e+04,7038049.11,
NaN,1.062300000e+04,7038050.00,12
NaN,1.063800000e+04,7038050.01,
NaN,1.067400000e+04,7038050.02,
NaN,1.065600000e+04,7038050.03,
NaN,1.070100000e+04,7038050.04,
NaN,1.069000000e+04,7038050.05,
NaN,1.067200000e+04,7038050.06,
NaN,1.068700000e+04,7038050.07,
NaN,1.064800000e+04,7038050.08,
NaN,1.066100000e+04,7038050.09,
NaN,1.070200000e+04,7038050.10,
23111373352,1.068400000e+04,7038050.11,
NaN,1.070200000e+04,7038051.00,12
NaN,1.071800000e+04,7038051.01,
NaN,1.073700000e+04,7038051.02,
NaN,1.073500000e+04,7038051.03,
NaN,1.072200000e+04,7038051.04,
NaN,1.070700000e+04,7038051.05,
NaN,1.072000000e+04,7038051.06,
NaN,1.069900000e+04,7038051.07,
NaN,1.067200000e+04,7038051.08,
NaN,1.068600000e+04,7038051.09,
NaN,1.067600000e+04,7038051.10,
23111377310,1.071100000e+04,7038051.11,
NaN,1.067400000e+04,7038052.00,12
NaN,1.065500000e+04,7038052.01,
NaN,1.064100000e+04,7038052.02,
NaN,1.065400000e+04,7038052.03,
NaN,1.061500000e+04,7038052.04,
NaN,1.064300000e+04,7038052.05,
NaN,1.064900000e+04,7038052.06,
NaN,1.066300000e+04,7038052.07,
NaN,1.067200000e+04,7038052.08,
NaN,1.067800000e+04,7038052.09,
NaN,1.068400000e+04,7038052.10,
23111381268,1.069500000e+04,7038052.11,
NaN,1.069800000e+04,7038053.00,12
NaN,1.070200000e+04,7038053.01,
